"tool_id","tool_slug","workflow_slug","is_primary"
"1ee89c84-5dea-4e46-b643-3e9e362cc28f","salary-after-gosi-estimate","workflow-salary-after-gosi-estimate-standard","true"
"0e4eb4d4-121a-427d-9fbb-78985a5785d0","end-of-service-first-five-years","workflow-end-of-service-first-five-years-standard","true"
"60c706ed-032f-433d-aa28-b55980dd7ee2","end-of-service-over-five-years","workflow-end-of-service-over-five-years-standard","true"
"a02bf474-9e11-4923-a43a-f0a7e9c98b06","housing-allowance-estimate","workflow-housing-allowance-estimate-standard","true"
"c46d7646-dc52-41ff-ae92-874303b19125","thirty-day-daily-wage","workflow-thirty-day-daily-wage-standard","true"
"41d340a5-59e7-4b35-9ff3-75a7c1dff9af","zakat-base-estimate","workflow-zakat-base-estimate-standard","true"
"b2b9000c-3d40-4cb0-b086-1969f2746b9c","trip-fuel-cost-calculator","workflow-trip-fuel-cost-calculator-standard","true"
"6bce74ea-1af7-4494-a569-95e6ee26c1ca","hotel-stay-total-calculator","workflow-hotel-stay-total-calculator-standard","true"
"6c730530-6fd2-4096-a0e0-87111018902b","focus-ratio-calculator","workflow-focus-ratio-calculator-standard","true"
"a460c42d-7b51-4cf7-b8c6-011bfe220aaa","travel-currency-budget-calculator","workflow-travel-currency-budget-calculator-standard","true"
"e7131f49-1102-46eb-b681-31f21108a2c0","baggage-overweight-fee-calculator","workflow-baggage-overweight-fee-calculator-standard","true"
"74e99448-a331-4b34-a5ce-0653176763de","travel-time-calculator","workflow-travel-time-calculator-standard","true"
"6314223d-17e3-4f70-b5f5-400f8b0a4998","itinerary-hours-per-day-calculator","workflow-itinerary-hours-per-day-calculator-standard","true"
"aa362b6e-0603-43ea-89cd-6da5c0f4108f","group-trip-share-calculator","workflow-group-trip-share-calculator-standard","true"
"98e18243-4218-47db-9ccb-1208cfdb593d","energy-efficiency-improvement-calculator","workflow-energy-efficiency-improvement-calculator-standard","true"
